"date","cpi","unemploy","ffr"
1998-01-01,162,4.6,5.55741935483871
1998-02-01,162,4.6,5.50571428571429
1998-03-01,162,4.7,5.49354838709677
1998-04-01,162.2,4.3,5.44533333333333
1998-05-01,162.6,4.4,5.48870967741935
1998-06-01,162.8,4.5,5.55866666666667
1998-07-01,163.2,4.5,5.5358064516129
1998-08-01,163.4,4.5,5.54677419354839
1998-09-01,163.5,4.6,5.51166666666667
1998-10-01,163.9,4.5,5.07096774193548
1998-11-01,164.1,4.4,4.826
1998-12-01,164.4,4.4,4.68354838709677
1999-01-01,164.7,4.3,4.63258064516129
1999-02-01,164.7,4.4,4.76464285714286
1999-03-01,164.8,4.2,4.80935483870968
1999-04-01,165.9,4.3,4.73633333333333
1999-05-01,166,4.2,4.74225806451613
1999-06-01,166,4.3,4.76466666666667
1999-07-01,166.7,4.3,4.9941935483871
1999-08-01,167.1,4.2,5.07225806451613
1999-09-01,167.8,4.2,5.22433333333333
1999-10-01,168.1,4.1,5.2
1999-11-01,168.4,4.1,5.42
1999-12-01,168.8,4,5.2958064516129
2000-01-01,169.3,4,5.44838709677419
2000-02-01,170,4.1,5.7348275862069
2000-03-01,171,4,5.85354838709677
2000-04-01,170.9,3.8,6.01966666666667
2000-05-01,171.2,4,6.26806451612903
2000-06-01,172.2,4,6.52833333333333
2000-07-01,172.7,4,6.54451612903226
2000-08-01,172.7,4.1,6.49677419354839
2000-09-01,173.6,3.9,6.517
2000-10-01,173.9,3.9,6.50935483870968
2000-11-01,174.2,3.9,6.51433333333333
2000-12-01,174.6,3.9,6.40225806451613
2001-01-01,175.6,4.2,5.9758064516129
2001-02-01,176,4.2,5.49428571428571
2001-03-01,176.1,4.3,5.31096774193548
2001-04-01,176.4,4.4,4.802
2001-05-01,177.3,4.3,4.21225806451613
2001-06-01,177.7,4.5,3.96966666666667
2001-07-01,177.4,4.6,3.76903225806452
2001-08-01,177.4,4.9,3.65258064516129
2001-09-01,178.1,5,3.069
2001-10-01,177.6,5.3,2.48516129032258
2001-11-01,177.5,5.5,2.087
2001-12-01,177.4,5.7,1.81774193548387
2002-01-01,177.7,5.7,1.72967741935484
2002-02-01,178,5.7,1.73964285714286
2002-03-01,178.5,5.7,1.73
2002-04-01,179.3,5.9,1.753
2002-05-01,179.5,5.8,1.75129032258065
2002-06-01,179.6,5.8,1.75033333333333
2002-07-01,180,5.8,1.72903225806452
2002-08-01,180.5,5.7,1.74322580645161
2002-09-01,180.8,5.7,1.75066666666667
2002-10-01,181.2,5.7,1.75483870967742
2002-11-01,181.5,5.9,1.336
2002-12-01,181.8,6,1.23838709677419
2003-01-01,182.6,5.8,1.23516129032258
2003-02-01,183.6,5.9,1.26214285714286
2003-03-01,183.9,5.9,1.25290322580645
2003-04-01,183.2,6,1.258
2003-05-01,182.9,6.1,1.25903225806452
2003-06-01,183.1,6.3,1.22266666666667
2003-07-01,183.7,6.2,1.01129032258065
2003-08-01,184.5,6.1,1.02903225806452
2003-09-01,185.1,6.1,1.01
2003-10-01,184.9,6,1.01
2003-11-01,185,5.8,0.996
2003-12-01,185.5,5.7,0.984193548387097
2004-01-01,186.3,5.7,0.997096774193548
2004-02-01,186.7,5.6,1.00724137931034
2004-03-01,187.1,5.8,1.00161290322581
2004-04-01,187.4,5.6,1.004
2004-05-01,188.2,5.6,1.00451612903226
2004-06-01,188.9,5.6,1.02566666666667
2004-07-01,189.1,5.5,1.26354838709677
2004-08-01,189.2,5.4,1.42935483870968
