id,name,num_records,ocean,date,year,utc_hours_mins,record_identifier,sys_status,latitude,longitude,max_wind,min_pressure,max_wind_radius
EP011949,UNNAMED,7,pacific,19490611,1949,0000,,TS,20.2N,106.3W,45,-999, -999
EP011949,UNNAMED,7,pacific,19490611,1949,0600,,TS,20.2N,106.4W,45,-999, -999
EP011949,UNNAMED,7,pacific,19490611,1949,1200,,TS,20.2N,106.7W,45,-999, -999
EP011949,UNNAMED,7,pacific,19490611,1949,1800,,TS,20.3N,107.7W,45,-999, -999
EP011949,UNNAMED,7,pacific,19490612,1949,0000,,TS,20.4N,108.6W,45,-999, -999
EP011949,UNNAMED,7,pacific,19490612,1949,0600,,TS,20.5N,109.4W,45,-999, -999
EP011949,UNNAMED,7,pacific,19490612,1949,1200,,TS,20.6N,110.2W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490617,1949,1200,,TS,14.1N,107.0W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490617,1949,1800,,TS,14.6N,107.7W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490618,1949,0000,,TS,15.0N,108.4W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490618,1949,0600,,TS,15.4N,109.2W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490618,1949,1200,,TS,15.7N,110.0W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490618,1949,1800,,TS,16.0N,110.8W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490619,1949,0000,,TS,16.3N,111.6W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490619,1949,0600,,TS,16.7N,112.3W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490619,1949,1200,,TS,17.1N,112.9W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490619,1949,1800,,TS,17.5N,113.5W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490620,1949,0000,,TS,18.0N,114.1W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490620,1949,0600,,TS,18.4N,114.6W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490620,1949,1200,,TS,18.9N,115.1W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490620,1949,1800,,TS,19.4N,115.6W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490621,1949,0000,,TS,19.9N,116.0W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490621,1949,0600,,TS,20.4N,116.4W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490621,1949,1200,,TS,21.0N,116.7W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490621,1949,1800,,TS,21.5N,117.1W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490622,1949,0000,,TS,22.0N,117.5W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490622,1949,0600,,TS,22.5N,117.8W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490622,1949,1200,,TS,23.1N,118.0W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490622,1949,1800,,TS,23.9N,118.0W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490623,1949,0000,,TS,24.7N,117.7W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490623,1949,0600,,TS,25.4N,117.4W,45,-999, -999
EP021949,UNNAMED,25,pacific,19490623,1949,1200,,TS,26.0N,117.0W,45,-999, -999
EP031949,UNNAMED,25,pacific,19490903,1949,1200,,TS,17.3N,106.3W,45,-999, -999
EP031949,UNNAMED,25,pacific,19490903,1949,1800,,TS,17.6N,106.6W,45,-999, -999
EP031949,UNNAMED,25,pacific,19490904,1949,0000,,TS,17.9N,106.8W,45,-999, -999
EP031949,UNNAMED,25,pacific,19490904,1949,0600,,TS,18.4N,106.8W,45,-999, -999
EP031949,UNNAMED,25,pacific,19490904,1949,1200,,TS,18.8N,106.9W,45,-999, -999
