Year,"Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1980,1,2.2,1.5,3.0,1.5,3.7,1.1,4.8,1,2.2,1.5,3.0,1.5,3.7,1.1,4.8
1981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,1,9.2,6.4,9.2,5.8,9.5,5.5,9.8,1,9.2,6.4,9.2,5.8,9.5,5.5,9.8
1984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,3,10.3,6.9,10.1,6.3,11.0,5.7,11.6,3,10.3,6.9,10.1,6.3,11.0,5.7,11.6
1986,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,2,23.5,21.1,24.8,20.4,25.9,19.9,26.4,2,23.5,21.1,24.8,20.4,25.9,19.9,26.4
1990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,1,3.4,2.9,4.1,2.7,4.1,2.5,4.3,1,3.4,2.9,4.1,2.7,4.1,2.5,4.3
1992,2,65.6,58.6,71.3,56.5,73.6,55.4,75.2,2,65.6,58.6,71.3,56.5,73.6,55.4,75.2
1993,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,1,2.1,1.9,2.5,1.7,2.5,1.7,2.5,1,2.1,1.9,2.5,1.7,2.5,1.7,2.5
1995,3,15.3,14.0,17.8,13.6,19.4,13.2,20.2,3,15.3,14.0,17.8,13.6,19.4,13.2,20.2
1996,1,9.8,9.0,11.5,8.4,12.1,8.0,12.5,1,9.8,9.0,11.5,8.4,12.1,8.0,12.5
1997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,3,14.4,12.4,16.2,11.6,17.3,11.4,17.7,3,14.4,12.4,16.2,11.6,17.3,11.4,17.7
1999,1,11.9,10.4,12.8,10.1,13.4,9.7,13.7,1,11.9,10.4,12.8,10.1,13.4,9.7,13.7
2000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,1,14.7,12.4,15.7,11.9,16.5,11.5,17.0,1,14.7,12.4,15.7,11.9,16.5,11.5,17.0
2002,2,3.9,3.4,4.2,3.1,4.6,3.1,4.8,2,3.9,3.4,4.2,3.1,4.6,3.1,4.8
2003,1,9.1,7.8,9.5,7.5,10.0,7.5,10.1,1,9.1,7.8,9.5,7.5,10.0,7.5,10.1
2004,4,87.1,78.1,93.3,75.8,96.3,74.7,98.2,4,87.1,78.1,93.3,75.8,96.3,74.7,98.2
2005,4,256.7,215.4,280.5,204.4,296.5,197.8,306.8,4,256.7,215.4,280.5,204.4,296.5,197.8,306.8
2006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,3,52.2,47.8,56.0,46.5,57.8,45.8,59.0,3,52.2,47.8,56.0,46.5,57.8,45.8,59.0
2009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,2,21.8,19.0,23.7,18.5,24.7,18.2,25.3,2,21.8,19.0,23.7,18.5,24.7,18.2,25.3
2012,2,90.2,74.9,98.7,70.9,104.0,68.6,107.0,2,90.2,74.9,98.7,70.9,104.0,68.6,107.0
2013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,12.7,9.4,13.8,9.1,14.2,8.9,14.6,1,12.7,9.4,13.8,9.1,14.2,8.9,14.6
2017,3,328.6,265.4,380.7,238.7,418.5,223.2,434.0,3,328.6,265.4,380.7,238.7,418.5,223.2,434.0
2018,2,59.5,48.6,70.5,42.5,76.6,37.1,82.0,2,59.5,48.6,70.5,42.5,76.6,37.1,82.0
2019,2,7.9,5.1,10.1,4.8,10.8,4.3,11.5,2,7.9,5.1,10.1,4.8,10.8,4.3,11.5
2020,7,53.1,44.2,58.6,41.8,59.2,39.4,62.6,7,53.1,44.2,58.6,41.8,59.2,39.4,62.6
2021,4,86.3,73.3,99.8,69.4,103.7,62.8,111.1,4,86.3,73.3,99.8,69.4,103.7,62.8,111.1
