year,tornados,fatalities
2023,1237*,--
2022,987,16
2021,914,13
2020,1012,76
2019,1379,38
2018,854,6
2017,1300,35
2016,887,12
2015,955,10
2014,770,41
2013,747,45
2012,841,70
2011,1609,548
2010,1089,36
2009,1040,20
2008,1610,124
2007,988,75
2006,946,55
2005,1068,10
2004,1559,28
2003,1304,53
2002,683,11
2001,961,20
2000,933,29
1999,1303,92
1998,1310,128
1997,1011,68
1996,1034,22
1995,1065,30
1994,988,41
1993,1094,105
1992,1099,9
1991,1089,37
1990,1052,49
1989,768,15
1988,540,17
1987,586,42
1986,717,15
1985,647,91
1984,829,117
1983,810,29
1982,924,57
1981,742,24
1980,819,27
1979,789,77
1978,743,48
1977,782,40
1976,825,44
1975,846,59
1974,885,361
1973,949,74
1972,681,32
1971,780,157
1970,580,67
1969,554,65
1968,571,127
1967,822,100
1966,525,92
1965,843,295
1964,649,49
1963,434,31
1962,638,30
1961,632,51
1960,572,45
1959,566,58
1958,509,63
1957,742,147
1956,459,83
1955,545,127
1954,517,32
1953,383,470
1952,231,231
1951,236,32
1950,191,67
